rank_date,country_full,rank,total_points
2000-03-01,Germany,14,1891.8
2000-03-01,Croatia,13,1888.6
2000-03-01,Austria,9,1882.8
2000-03-01,Colombia,16,1913.1
2000-03-01,Senegal,13,1873.1
2000-03-01,Mexico,18,1859.1
2000-03-01,United States,12,1864.6
2000-03-01,Uruguay,19,1847.0
2000-03-01,Japan,14,1870.0
2000-03-01,Switzerland,17,1855.8
2000-03-01,Norway,16,1882.2
2000-03-01,Iran,18,1827.7
2000-03-01,Turkey,19,1855.7
2000-03-01,Ecuador,27,1784.2
2000-03-01,Sweden,27,1812.6
2000-03-01,South Korea,28,1784.8
2000-03-01,Nigeria,27,1840.6
2000-03-01,Australia,30,1805.1
2000-03-01,Ivory Coast,27,1780.5
2000-03-01,Algeria,25,1828.9
2000-03-01,Egypt,27,1760.6
2000-03-01,Canada,29,1702.9
2000-03-01,Tunisia,30,1753.8
2000-03-01,Paraguay,28,1788.1
2000-03-01,Peru,34,1748.9
2000-03-01,Ghana,32,1703.5
2000-03-01,Saudi Arabia,38,1701.9
2000-03-01,Cabo Verde,34,1729.0
2000-03-01,Slovakia,35,1688.6
2000-03-01,Scotland,39,1739.3
2000-03-01,Jordan,35,1661.1
2000-03-01,Czechia,44,1704.2
2000-03-01,South Africa,43,1659.6
2000-03-01,Venezuela,46,1689.6
2000-03-01,Chile,44,1698.6
2000-03-01,Bolivia,47,1686.8
2000-03-01,Indonesia,42,1692.5
2000-03-01,New Zealand,50,1674.9
2000-03-01,Costa Rica,48,1620.5
2000-03-01,Curaçao,44,1612.5
2000-03-01,Honduras,48,1603.7
2000-03-01,DR Congo,46,1574.7
2000-03-01,Kenya,45,1670.4
2000-03-01,Panama,54,1592.8
2000-03-01,Bosnia and Herzegovina,48,1590.1
2000-03-01,Qatar,50,1575.8
2000-03-01,Haiti,52,1588.0
2000-03-01,Cuba,50,1580.5
2000-03-01,Iraq,51,1544.7
2000-03-01,Trinidad and Tobago,54,1602.1
2000-03-01,Uzbekistan,59,1514.1
2000-04-01,France,1,1995.4
2000-04-01,Spain,1,1973.7
2000-04-01,Argentina,3,1999.4
2000-04-01,England,7,2014.6
2000-04-01,Portugal,7,1969.1
2000-04-01,Brazil,4,1960.1
2000-04-01,Netherlands,9,1978.3
2000-04-01,Morocco,10,1892.1
2000-04-01,Belgium,7,1961.6
2000-04-01,Germany,11,1921.3
2000-04-01,Croatia,14,1909.8
2000-04-01,Austria,15,1872.4
2000-04-01,Colombia,11,1889.7
2000-04-01,Senegal,13,1876.4
2000-04-01,Mexico,15,1897.6
2000-04-01,United States,20,1851.7
2000-04-01,Uruguay,20,1898.3
2000-04-01,Japan,14,1847.3
2000-04-01,Switzerland,22,1880.7
2000-04-01,Norway,20,1904.1
2000-04-01,Iran,25,1861.3
2000-04-01,Turkey,19,1827.2
2000-04-01,Ecuador,22,1824.3
2000-04-01,Sweden,22,1824.0
2000-04-01,South Korea,28,1807.1
2000-04-01,Nigeria,23,1826.1
2000-04-01,Australia,31,1792.7
2000-04-01,Ivory Coast,25,1717.7
2000-04-01,Algeria,28,1849.3
2000-04-01,Egypt,25,1801.3
2000-04-01,Canada,33,1775.6
2000-04-01,Tunisia,30,1777.7
2000-04-01,Paraguay,30,1672.6
2000-04-01,Peru,36,1700.4
2000-04-01,Ghana,31,1694.8
2000-04-01,Saudi Arabia,33,1700.0
2000-04-01,Cabo Verde,37,1736.9
2000-04-01,Slovakia,37,1709.5
2000-04-01,Scotland,36,1687.2
2000-04-01,Jordan,37,1691.7
2000-04-01,Czechia,38,1664.4
2000-04-01,South Africa,42,1683.0
2000-04-01,Venezuela,40,1621.5
2000-04-01,Chile,46,1712.5
2000-04-01,Bolivia,42,1608.6
2000-04-01,Indonesia,44,1648.1
2000-04-01,New Zealand,42,1604.5
2000-04-01,Costa Rica,51,1635.3
2000-04-01,Curaçao,51,1664.9
2000-04-01,Honduras,51,1603.0
2000-04-01,DR Congo,45,1647.5
2000-04-01,Kenya,53,1634.0
2000-04-01,Panama,47,1653.5
2000-04-01,Bosnia and Herzegovina,54,1604.3
2000-04-01,Qatar,51,1584.5
2000-04-01,Haiti,53,1573.8
2000-04-01,Cuba,50,1588.2
2000-04-01,Iraq,59,1518.4
2000-04-01,Trinidad and Tobago,55,1532.3
2000-04-01,Uzbekistan,59,1522.1
2000-05-01,France,1,2001.6
2000-05-01,Spain,1,2022.5
2000-05-01,Argentina,3,1982.1
2000-05-01,England,4,1918.8
2000-05-01,Portugal,3,1930.4
2000-05-01,Brazil,2,2014.7
2000-05-01,Netherlands,11,1922.3
2000-05-01,Morocco,10,1941.5
2000-05-01,Belgium,10,1959.5
2000-05-01,Germany,13,1921.9
2000-05-01,Croatia,8,1901.9
2000-05-01,Austria,11,1871.4
2000-05-01,Colombia,17,1914.8
2000-05-01,Senegal,18,1942.9
2000-05-01,Mexico,11,1864.9
2000-05-01,United States,14,1855.2
2000-05-01,Uruguay,13,1859.0
2000-05-01,Japan,22,1856.8
2000-05-01,Switzerland,15,1847.3
2000-05-01,Norway,20,1848.1
2000-05-01,Iran,17,1914.6
2000-05-01,Turkey,23,1819.8
2000-05-01,Ecuador,20,1816.9
2000-05-01,Sweden,26,1827.5
2000-05-01,South Korea,27,1753.7
2000-05-01,Nigeria,30,1746.3
2000-05-01,Australia,25,1767.1
2000-05-01,Ivory Coast,26,1746.1
2000-05-01,Algeria,27,1794.1
2000-05-01,Egypt,32,1753.9
2000-05-01,Canada,30,1800.5
2000-05-01,Tunisia,34,1710.7
2000-05-01,Paraguay,31,1756.3
2000-05-01,Peru,32,1700.3
2000-05-01,Ghana,33,1733.2
2000-05-01,Saudi Arabia,36,1722.5
2000-05-01,Cabo Verde,34,1730.1
2000-05-01,Slovakia,36,1651.4
2000-05-01,Scotland,39,1657.9
2000-05-01,Jordan,38,1701.3
2000-05-01,Czechia,42,1662.7
2000-05-01,South Africa,42,1649.3
2000-05-01,Venezuela,43,1645.0
2000-05-01,Chile,42,1631.3
2000-05-01,Bolivia,47,1669.7
2000-05-01,Indonesia,43,1597.5
2000-05-01,New Zealand,42,1667.8
2000-05-01,Costa Rica,44,1609.8
2000-05-01,Curaçao,51,1659.6
2000-05-01,Honduras,49,1598.2
2000-05-01,DR Congo,44,1636.5
2000-05-01,Kenya,45,1672.9
2000-05-01,Panama,47,1647.9
2000-05-01,Bosnia and Herzegovina,54,1622.4
2000-05-01,Qatar,55,1629.0
2000-05-01,Haiti,50,1576.3
2000-05-01,Cuba,58,1567.2
2000-05-01,Iraq,58,1508.1
2000-05-01,Trinidad and Tobago,52,1576.1
2000-05-01,Uzbekistan,64,1530.6
2000-06-01,France,4,1975.2
2000-06-01,Spain,1,2023.4
2000-06-01,Argentina,6,2001.0
2000-06-01,England,7,1962.9
2000-06-01,Portugal,1,1975.0
2000-06-01,Brazil,4,1972.0
2000-06-01,Netherlands,9,1961.3
2000-06-01,Morocco,11,1995.1
2000-06-01,Belgium,5,1907.1
2000-06-01,Germany,11,1950.1
2000-06-01,Croatia,11,1927.6
2000-06-01,Austria,15,1929.5
2000-06-01,Colombia,16,1845.6
2000-06-01,Senegal,14,1904.6
2000-06-01,Mexico,18,1927.5
2000-06-01,United States,13,1871.0
2000-06-01,Uruguay,19,1888.3
2000-06-01,Japan,18,1881.0
2000-06-01,Switzerland,20,1855.2
2000-06-01,Norway,17,1810.6
2000-06-01,Iran,19,1862.2
2000-06-01,Turkey,23,1849.0
2000-06-01,Ecuador,24,1813.6
2000-06-01,Sweden,23,1838.2
2000-06-01,South Korea,24,1788.2
2000-06-01,Nigeria,30,1833.3
2000-06-01,Australia,25,1808.4
2000-06-01,Ivory Coast,25,1747.2
2000-06-01,Algeria,32,1770.8
2000-06-01,Egypt,28,1777.5
2000-06-01,Canada,33,1775.1
2000-06-01,Tunisia,34,1772.9
2000-06-01,Paraguay,35,1735.8
2000-06-01,Peru,30,1728.2
2000-06-01,Ghana,36,1710.0
2000-06-01,Saudi Arabia,36,1673.4
2000-06-01,Cabo Verde,35,1743.2
2000-06-01,Slovakia,40,1715.4
2000-06-01,Scotland,34,1662.9
2000-06-01,Jordan,43,1729.8
2000-06-01,Czechia,42,1692.3
2000-06-01,South Africa,45,1661.7
2000-06-01,Venezuela,44,1620.5
2000-06-01,Chile,43,1608.9
2000-06-01,Bolivia,42,1638.1
2000-06-01,Indonesia,43,1640.1
2000-06-01,New Zealand,45,1663.0
2000-06-01,Costa Rica,51,1625.5
2000-06-01,Curaçao,44,1617.0
2000-06-01,Honduras,49,1639.4
2000-06-01,DR Congo,44,1613.3
2000-06-01,Kenya,48,1592.6
2000-06-01,Panama,52,1618.6
2000-06-01,Bosnia and Herzegovina,47,1621.7
2000-06-01,Qatar,48,1583.0
2000-06-01,Haiti,51,1543.3
2000-06-01,Cuba,55,1556.9
2000-06-01,Iraq,51,1553.3
2000-06-01,Trinidad and Tobago,57,1590.7
2000-06-01,Uzbekistan,59,1458.0
2000-07-01,France,3,1940.7
2000-07-01,Spain,1,1971.9
2000-07-01,Argentina,7,2012.5
2000-07-01,England,7,1999.5
2000-07-01,Portugal,9,1924.8
2000-07-01,Brazil,4,1965.9
2000-07-01,Netherlands,11,1938.6
2000-07-01,Morocco,4,1911.0
2000-07-01,Belgium,10,1916.5
2000-07-01,Germany,7,1973.3
2000-07-01,Croatia,12,1946.5
2000-07-01,Austria,10,1924.2
2000-07-01,Colombia,13,1932.4
2000-07-01,Senegal,14,1926.8
2000-07-01,Mexico,13,1846.7
2000-07-01,United States,15,1865.3
2000-07-01,Uruguay,19,1905.3
2000-07-01,Japan,22,1869.4
2000-07-01,Switzerland,22,1824.6
2000-07-01,Norway,22,1824.6
2000-07-01,Iran,22,1816.4
2000-07-01,Turkey,25,1856.5
2000-07-01,Ecuador,26,1757.7
2000-07-01,Sweden,25,1813.5
2000-07-01,South Korea,21,1792.6
2000-07-01,Nigeria,28,1797.9
2000-07-01,Australia,27,1807.2
2000-07-01,Ivory Coast,28,1740.5
2000-07-01,Algeria,31,1738.0
2000-07-01,Egypt,28,1750.4
2000-07-01,Canada,26,1848.3
2000-07-01,Tunisia,29,1759.8
2000-07-01,Paraguay,34,1734.4
2000-07-01,Peru,31,1713.9
2000-07-01,Ghana,31,1759.0
2000-07-01,Saudi Arabia,35,1726.1
2000-07-01,Cabo Verde,40,1725.4
2000-07-01,Slovakia,41,1715.2
2000-07-01,Scotland,35,1706.2
2000-07-01,Jordan,40,1683.9
2000-07-01,Czechia,36,1656.5
2000-07-01,South Africa,44,1642.1
2000-07-01,Venezuela,44,1721.4
2000-07-01,Chile,43,1628.9
2000-07-01,Bolivia,40,1603.2
2000-07-01,Indonesia,42,1623.6
2000-07-01,New Zealand,50,1658.7
2000-07-01,Costa Rica,48,1658.9
2000-07-01,Curaçao,49,1665.2
2000-07-01,Honduras,51,1633.7
2000-07-01,DR Congo,50,1624.3
2000-07-01,Kenya,45,1587.6
2000-07-01,Panama,54,1599.1
2000-07-01,Bosnia and Herzegovina,51,1576.3
2000-07-01,Qatar,54,1568.8
2000-07-01,Haiti,57,1633.7
2000-07-01,Cuba,54,1623.9
2000-07-01,Iraq,52,1564.1
2000-07-01,Trinidad and Tobago,55,1506.1
2000-07-01,Uzbekistan,61,1456.6
2000-08-01,France,2,1997.7
2000-08-01,Spain,6,1992.9
2000-08-01,Argentina,3,1989.0
2000-08-01,England,5,1933.3
2000-08-01,Portugal,9,1903.0
2000-08-01,Brazil,5,1962.9
2000-08-01,Netherlands,8,1921.0
2000-08-01,Morocco,7,1874.4
2000-08-01,Belgium,7,1955.7
2000-08-01,Germany,9,1880.4
2000-08-01,Croatia,9,1909.4
2000-08-01,Austria,16,1906.1
2000-08-01,Colombia,13,1939.9
2000-08-01,Senegal,17,1862.2
2000-08-01,Mexico,16,1865.0
2000-08-01,United States,19,1839.0
2000-08-01,Uruguay,16,1859.6
2000-08-01,Japan,22,1835.7
2000-08-01,Switzerland,21,1810.3
2000-08-01,Norway,23,1836.3
2000-08-01,Iran,23,1840.5
2000-08-01,Turkey,22,1832.0
2000-08-01,Ecuador,23,1846.2
2000-08-01,Sweden,21,1758.7
2000-08-01,South Korea,24,1794.2
2000-08-01,Nigeria,23,1808.5
2000-08-01,Australia,23,1809.1
2000-08-01,Ivory Coast,27,1774.6
2000-08-01,Algeria,30,1743.9
2000-08-01,Egypt,30,1728.8
2000-08-01,Canada,27,1747.3
2000-08-01,Tunisia,33,1778.8
2000-08-01,Paraguay,35,1709.8
2000-08-01,Peru,29,1721.3
2000-08-01,Ghana,37,1676.9
2000-08-01,Saudi Arabia,34,1716.0
2000-08-01,Cabo Verde,40,1736.5
2000-08-01,Slovakia,35,1707.6
2000-08-01,Scotland,38,1679.9
2000-08-01,Jordan,37,1689.6
2000-08-01,Czechia,44,1730.0
2000-08-01,South Africa,41,1718.8
2000-08-01,Venezuela,42,1682.6
2000-08-01,Chile,46,1665.1
2000-08-01,Bolivia,46,1629.9
2000-08-01,Indonesia,47,1594.3
2000-08-01,New Zealand,46,1665.4
2000-08-01,Costa Rica,45,1616.3
2000-08-01,Curaçao,51,1588.2
2000-08-01,Honduras,45,1633.1
2000-08-01,DR Congo,47,1594.7
2000-08-01,Kenya,45,1600.9
2000-08-01,Panama,54,1647.6
2000-08-01,Bosnia and Herzegovina,55,1533.6
2000-08-01,Qatar,54,1575.4
2000-08-01,Haiti,57,1589.3
2000-08-01,Cuba,55,1587.4
2000-08-01,Iraq,52,1581.7
2000-08-01,Trinidad and Tobago,58,1566.0
2000-08-01,Uzbekistan,64,1472.3
2000-09-01,France,4,2021.8
2000-09-01,Spain,1,2038.0
2000-09-01,Argentina,1,1942.5
2000-09-01,England,1,1998.3
2000-09-01,Portugal,6,1908.6
2000-09-01,Brazil,10,1916.0
2000-09-01,Netherlands,3,1980.8
2000-09-01,Morocco,12,1961.9
2000-09-01,Belgium,11,1886.6
2000-09-01,Germany,10,1903.0
2000-09-01,Croatia,9,1960.3
2000-09-01,Austria,8,1899.2
2000-09-01,Colombia,17,1862.6
2000-09-01,Senegal,11,1851.2
2000-09-01,Mexico,12,1800.1
2000-09-01,United States,13,1881.3
2000-09-01,Uruguay,16,1904.6
2000-09-01,Japan,22,1871.9
2000-09-01,Switzerland,18,1851.7
2000-09-01,Norway,23,1857.5
2000-09-01,Iran,21,1833.5
2000-09-01,Turkey,19,1766.2
2000-09-01,Ecuador,24,1793.1
2000-09-01,Sweden,20,1784.3
2000-09-01,South Korea,21,1801.3
2000-09-01,Nigeria,22,1819.1
2000-09-01,Australia,26,1795.6
2000-09-01,Ivory Coast,31,1801.6
2000-09-01,Algeria,32,1745.9
2000-09-01,Egypt,30,1812.4
2000-09-01,Canada,30,1722.6
2000-09-01,Tunisia,30,1749.7
2000-09-01,Paraguay,28,1747.9
2000-09-01,Peru,31,1787.7
2000-09-01,Ghana,32,1690.1
2000-09-01,Saudi Arabia,36,1724.8
2000-09-01,Cabo Verde,34,1740.2
2000-09-01,Slovakia,36,1707.9
2000-09-01,Scotland,36,1723.8
2000-09-01,Jordan,38,1649.3
2000-09-01,Czechia,40,1651.1
2000-09-01,South Africa,45,1722.9
2000-09-01,Venezuela,40,1707.0
2000-09-01,Chile,47,1648.9
2000-09-01,Bolivia,40,1653.1
2000-09-01,Indonesia,42,1620.8
2000-09-01,New Zealand,42,1636.0
2000-09-01,Costa Rica,46,1666.3
2000-09-01,Curaçao,44,1635.0
2000-09-01,Honduras,47,1657.9
2000-09-01,DR Congo,47,1599.8
2000-09-01,Kenya,53,1574.1
2000-09-01,Panama,51,1623.8
2000-09-01,Bosnia and Herzegovina,50,1604.7
2000-09-01,Qatar,50,1639.6
2000-09-01,Haiti,57,1582.7
2000-09-01,Cuba,56,1607.4
2000-09-01,Iraq,58,1561.1
2000-09-01,Trinidad and Tobago,52,1584.7
2000-09-01,Uzbekistan,61,1471.1
2000-10-01,France,1,2018.6
2000-10-01,Spain,4,2041.0
2000-10-01,Argentina,2,1956.8
2000-10-01,England,4,1964.1
2000-10-01,Portugal,9,1954.4
2000-10-01,Brazil,3,2043.4
2000-10-01,Netherlands,9,2003.8
2000-10-01,Morocco,9,1894.7
2000-10-01,Belgium,11,1932.9
2000-10-01,Germany,7,1951.0
2000-10-01,Croatia,13,1855.5
2000-10-01,Austria,16,1950.6
2000-10-01,Colombia,12,1865.8
2000-10-01,Senegal,18,1870.0
2000-10-01,Mexico,16,1850.7
2000-10-01,United States,15,1869.4
2000-10-01,Uruguay,19,1856.5
2000-10-01,Japan,15,1818.2
2000-10-01,Switzerland,22,1879.7
2000-10-01,Norway,24,1811.4
2000-10-01,Iran,22,1820.9
2000-10-01,Turkey,24,1838.3
2000-10-01,Ecuador,22,1827.1
2000-10-01,Sweden,25,1792.1
2000-10-01,South Korea,22,1787.8
2000-10-01,Nigeria,28,1826.0
2000-10-01,Australia,24,1735.3
2000-10-01,Ivory Coast,31,1802.5
2000-10-01,Algeria,32,1709.5
2000-10-01,Egypt,30,1746.0
2000-10-01,Canada,31,1767.3
2000-10-01,Tunisia,27,1791.1
2000-10-01,Paraguay,31,1754.0
2000-10-01,Peru,34,1753.3
2000-10-01,Ghana,33,1751.4
2000-10-01,Saudi Arabia,33,1715.9
2000-10-01,Cabo Verde,37,1753.0
2000-10-01,Slovakia,33,1731.3
2000-10-01,Scotland,36,1676.7
2000-10-01,Jordan,36,1675.4
2000-10-01,Czechia,36,1628.4
2000-10-01,South Africa,43,1692.3
2000-10-01,Venezuela,43,1674.2
2000-10-01,Chile,39,1637.3
2000-10-01,Bolivia,40,1607.7
2000-10-01,Indonesia,49,1564.4
2000-10-01,New Zealand,49,1585.4
2000-10-01,Costa Rica,45,1594.4
2000-10-01,Curaçao,43,1657.0
2000-10-01,Honduras,45,1639.8
2000-10-01,DR Congo,48,1652.9
2000-10-01,Kenya,47,1631.9
2000-10-01,Panama,53,1605.5
2000-10-01,Bosnia and Herzegovina,49,1616.1
2000-10-01,Qatar,56,1562.3
2000-10-01,Haiti,54,1577.5
2000-10-01,Cuba,52,1596.1
2000-10-01,Iraq,59,1567.5
2000-10-01,Trinidad and Tobago,58,1537.3
2000-10-01,Uzbekistan,61,1508.7
2000-11-01,France,3,2008.8
2000-11-01,Spain,5,1979.7
2000-11-01,Argentina,1,1969.2
2000-11-01,England,3,1951.7
2000-11-01,Portugal,4,1957.2
2000-11-01,Brazil,5,1950.8
2000-11-01,Netherlands,10,1981.5
2000-11-01,Morocco,4,1921.0
2000-11-01,Belgium,5,1942.9
2000-11-01,Germany,12,1886.1
2000-11-01,Croatia,8,1921.7
2000-11-01,Austria,8,1874.6
2000-11-01,Colombia,13,1913.1
2000-11-01,Senegal,14,1956.1
2000-11-01,Mexico,12,1852.1
2000-11-01,United States,16,1894.0
2000-11-01,Uruguay,19,1865.0
2000-11-01,Japan,21,1871.0
2000-11-01,Switzerland,21,1863.1
2000-11-01,Norway,22,1858.2
2000-11-01,Iran,22,1774.0
2000-11-01,Turkey,24,1827.0
2000-11-01,Ecuador,21,1777.0
2000-11-01,Sweden,23,1774.4
2000-11-01,South Korea,26,1791.6
2000-11-01,Nigeria,26,1838.1
2000-11-01,Australia,27,1821.0
2000-11-01,Ivory Coast,29,1802.4
2000-11-01,Algeria,24,1754.3
2000-11-01,Egypt,28,1688.6
2000-11-01,Canada,34,1804.5
2000-11-01,Tunisia,27,1753.8
2000-11-01,Paraguay,32,1719.5
2000-11-01,Peru,29,1750.3
2000-11-01,Ghana,31,1748.7
2000-11-01,Saudi Arabia,33,1736.5
2000-11-01,Cabo Verde,35,1678.4
2000-11-01,Slovakia,34,1720.9
2000-11-01,Scotland,41,1711.3
2000-11-01,Jordan,43,1706.6
2000-11-01,Czechia,43,1727.9
2000-11-01,South Africa,43,1664.1
2000-11-01,Venezuela,38,1688.2
2000-11-01,Chile,42,1647.4
2000-11-01,Bolivia,47,1649.0
2000-11-01,Indonesia,48,1664.0
2000-11-01,New Zealand,44,1621.6
2000-11-01,Costa Rica,46,1637.9
2000-11-01,Curaçao,46,1601.3
2000-11-01,Honduras,44,1572.9
2000-11-01,DR Congo,49,1593.3
2000-11-01,Kenya,52,1593.6
2000-11-01,Panama,49,1679.3
2000-11-01,Bosnia and Herzegovina,55,1653.8
2000-11-01,Qatar,52,1628.8
2000-11-01,Haiti,49,1534.1
2000-11-01,Cuba,55,1555.6
2000-11-01,Iraq,54,1542.4
2000-11-01,Trinidad and Tobago,52,1571.7
2000-11-01,Uzbekistan,66,1485.3
2000-12-01,France,1,1964.4
2000-12-01,Spain,6,1900.4
2000-12-01,Argentina,3,1988.8
2000-12-01,England,4,1995.9
2000-12-01,Portugal,2,1917.5
2000-12-01,Brazil,3,1889.2
2000-12-01,Netherlands,4,1921.6
2000-12-01,Morocco,10,1916.3
2000-12-01,Belgium,12,1970.9
2000-12-01,Germany,7,1904.5
2000-12-01,Croatia,7,1926.7
2000-12-01,Austria,16,1949.5
2000-12-01,Colombia,9,1875.8
2000-12-01,Senegal,13,1868.7
2000-12-01,Mexico,18,1938.5
2000-12-01,United States,18,1844.9
2000-12-01,Uruguay,13,1876.3
2000-12-01,Japan,16,1819.5
2000-12-01,Switzerland,15,1823.2
2000-12-01,Norway,22,1822.6
2000-12-01,Iran,21,1855.2
2000-12-01,Turkey,23,1816.7
2000-12-01,Ecuador,22,1795.7
2000-12-01,Sweden,27,1811.8
2000-12-01,South Korea,23,1815.2
2000-12-01,Nigeria,23,1757.9
2000-12-01,Australia,26,1782.3
2000-12-01,Ivory Coast,24,1753.9
2000-12-01,Algeria,30,1809.6
2000-12-01,Egypt,32,1790.3
2000-12-01,Canada,26,1761.7
2000-12-01,Tunisia,27,1725.8
2000-12-01,Paraguay,34,1745.2
2000-12-01,Peru,37,1767.5
2000-12-01,Ghana,35,1753.0
2000-12-01,Saudi Arabia,38,1741.6
2000-12-01,Cabo Verde,33,1735.4
2000-12-01,Slovakia,37,1703.1
2000-12-01,Scotland,38,1738.0
2000-12-01,Jordan,41,1703.9
2000-12-01,Czechia,39,1716.9
2000-12-01,South Africa,37,1673.1
2000-12-01,Venezuela,38,1720.6
2000-12-01,Chile,39,1650.8
2000-12-01,Bolivia,45,1654.8
2000-12-01,Indonesia,49,1624.3
2000-12-01,New Zealand,47,1610.3
2000-12-01,Costa Rica,43,1575.1
2000-12-01,Curaçao,43,1669.4
2000-12-01,Honduras,49,1630.6
2000-12-01,DR Congo,51,1614.5
2000-12-01,Kenya,51,1685.7
2000-12-01,Panama,49,1602.0
2000-12-01,Bosnia and Herzegovina,50,1555.8
2000-12-01,Qatar,54,1571.8
2000-12-01,Haiti,55,1598.8
2000-12-01,Cuba,56,1606.7
2000-12-01,Iraq,58,1602.1
2000-12-01,Trinidad and Tobago,52,1573.5
2000-12-01,Uzbekistan,62,1541.1
