Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,PSH,PSD,PSA
2000-10-10 07:27:48.401285243,Norway,Morocco,4,5,2.52,4.08,3.32,2.45,4.08,3.31
2000-10-12 09:33:31.384755751,South Korea,Portugal,0,4,6.3,4.08,1.85,6.11,4.18,1.86
2000-10-13 13:21:25.616997209,Haiti,Peru,1,3,6.74,4.08,1.82,6.68,4.06,1.87
2000-12-20 12:44:22.243902229,South Korea,Colombia,1,2,3.58,4.08,2.39,3.58,4.15,2.38
2000-12-21 06:28:16.329993965,Peru,Venezuela,0,1,1.39,4.08,21.2,1.39,4.13,20.92
2000-12-22 05:55:20.598157148,Egypt,Cabo Verde,1,3,1.63,4.08,11.96,1.67,4.03,12.15
2000-12-22 15:07:20.570842008,Venezuela,Curaçao,1,0,1.51,4.08,21.2,1.53,3.97,21.13
2000-12-23 21:37:56.684074030,Egypt,France,0,5,11.73,4.08,1.63,11.99,4.18,1.6
2000-12-25 13:50:22.010767809,Honduras,Germany,0,2,21.2,4.08,1.49,21.32,4.0,1.52
2000-12-27 00:52:50.617898576,Canada,Trinidad and Tobago,3,2,1.14,4.08,21.2,1.11,4.17,21.53
2000-12-28 23:43:54.774183941,Australia,Norway,0,1,3.54,4.08,2.41,3.53,4.09,2.41
2001-03-08 20:00:47.856413165,France,Sweden,2,1,1.36,4.08,21.2,1.34,4.06,21.25
2001-03-09 14:37:03.000601479,Ghana,Japan,1,4,4.42,4.08,2.12,4.31,3.97,2.08
2001-03-12 05:13:31.398998032,Honduras,Indonesia,1,1,2.0,4.08,5.03,2.05,4.02,5.07
2001-03-12 11:12:30.159415090,Netherlands,Portugal,1,3,1.86,4.08,6.21,1.9,4.01,6.3
2001-03-13 10:22:29.974403163,Trinidad and Tobago,Mexico,0,5,21.2,4.08,1.49,21.31,4.18,1.48
2001-03-15 14:51:09.018150228,Senegal,Croatia,1,2,3.06,4.08,2.69,2.98,4.18,2.76
2001-03-15 20:24:39.561291939,South Africa,New Zealand,2,0,1.56,4.08,17.08,1.54,4.06,17.03
2001-03-16 15:33:25.657953310,Cabo Verde,Tunisia,0,1,3.82,4.08,2.29,3.72,4.06,2.24
2001-05-21 01:25:28.814739213,Bosnia and Herzegovina,Trinidad and Tobago,1,0,1.84,4.08,6.43,1.83,4.06,6.4
2001-05-21 09:00:00.563933078,Tunisia,Uruguay,1,3,4.87,4.08,2.03,4.9,4.14,2.01
2001-05-21 11:10:41.461282481,Uruguay,Trinidad and Tobago,0,0,1.08,4.08,21.2,1.1,4.16,20.98
2001-05-21 14:54:08.209426801,Uruguay,Venezuela,1,2,1.18,4.08,21.2,1.16,4.07,21.01
2001-05-21 21:57:21.504469690,Bosnia and Herzegovina,Switzerland,0,2,13.34,4.08,1.6,13.17,4.15,1.64
2001-05-24 04:06:06.766700771,England,Mexico,3,0,1.41,4.08,21.2,1.41,3.97,21.11
2001-05-25 01:56:47.681007180,Paraguay,Uruguay,0,1,3.31,4.08,2.53,3.28,4.1,2.49
2001-05-25 15:28:17.074243501,Portugal,Venezuela,3,1,1.14,4.08,21.2,1.15,4.19,20.83
2001-08-01 20:38:53.263165156,Kenya,New Zealand,0,1,2.19,4.08,4.16,2.18,4.14,4.1
2001-08-03 11:38:07.135707730,Iran,Nigeria,1,0,2.18,4.08,4.18,2.21,4.09,4.2
2001-08-04 11:24:03.674849273,Uzbekistan,Mexico,0,2,3.81,4.08,2.3,3.77,4.0,2.31
2001-08-05 03:26:30.501710180,Australia,Iraq,2,2,1.23,4.08,21.2,1.23,4.05,21.71
2001-08-05 14:32:44.326043717,Czechia,France,1,3,21.2,4.08,1.52,21.57,3.98,1.54
2001-08-07 06:13:38.951378826,Venezuela,Netherlands,0,2,11.56,4.08,1.64,11.71,4.14,1.67
2001-08-07 21:45:38.745307632,Honduras,Senegal,1,0,10.9,4.08,1.65,10.63,4.2,1.69
2001-08-08 04:21:20.614504638,Spain,Norway,3,0,1.31,4.08,21.2,1.29,4.03,20.96
2001-10-24 21:05:21.375963434,Trinidad and Tobago,Paraguay,1,0,10.74,4.08,1.65,10.85,4.13,1.61
2001-10-25 04:29:40.501101709,Paraguay,South Africa,1,1,1.56,4.08,17.8,1.53,4.13,17.66
2001-10-25 10:22:55.694508037,Kenya,Argentina,0,3,21.2,4.08,1.5,21.11,4.09,1.46
2001-10-25 14:00:51.692219283,England,Iraq,2,0,1.12,4.08,21.2,1.12,4.16,21.43
2001-10-26 01:41:54.744369359,Brazil,Honduras,1,0,1.09,4.08,21.2,1.09,4.01,21.68
2001-10-26 18:05:29.195767942,Egypt,Indonesia,0,0,1.51,4.08,21.2,1.49,4.17,20.59
2001-10-27 19:21:34.274151689,Slovakia,Morocco,0,2,11.85,4.08,1.63,11.79,4.01,1.62
2001-10-28 05:46:02.327078187,Bosnia and Herzegovina,Switzerland,0,0,14.8,4.08,1.59,14.56,3.98,1.58
2002-01-12 08:36:28.240629031,Cuba,Canada,0,3,9.1,4.08,1.7,9.3,4.18,1.69
2002-01-13 03:32:27.193619020,Scotland,Bolivia,1,0,1.75,4.08,7.85,1.77,4.07,7.69
2002-01-15 18:30:16.394651895,Uzbekistan,Netherlands,0,4,5.56,4.08,1.93,5.47,4.17,1.9
2002-01-15 20:42:41.174180461,Iraq,Canada,0,1,3.52,4.08,2.42,3.55,4.02,2.48
2002-01-15 23:27:14.196306031,Indonesia,Costa Rica,2,1,2.21,4.08,4.08,2.25,4.16,4.14
2002-01-17 17:54:38.654914898,Morocco,Spain,0,1,4.95,4.08,2.02,5.01,3.98,1.98
2002-01-19 14:40:04.265267246,Egypt,Ecuador,0,3,3.45,4.08,2.45,3.36,4.19,2.42
2002-01-20 19:43:28.722871445,Chile,Japan,3,0,7.56,4.08,1.77,7.69,4.2,1.74
2002-04-18 21:13:34.378060400,Iraq,Venezuela,3,0,1.93,4.08,5.54,1.94,3.98,5.47
2002-04-19 08:29:17.565321665,South Africa,DR Congo,0,0,1.83,4.08,6.56,1.82,4.08,6.48
2002-04-19 11:14:08.375447417,Panama,England,0,2,21.2,4.08,1.51,21.22,4.02,1.52
2002-04-19 19:32:57.381975376,DR Congo,Chile,2,3,1.98,4.08,5.19,2.04,4.07,5.2
2002-04-21 11:01:40.169059489,Indonesia,Venezuela,0,3,3.06,4.08,2.7,3.07,4.03,2.72
2002-04-22 14:56:45.220091984,Argentina,Ivory Coast,3,0,1.17,4.08,21.2,1.15,4.1,21.73
2002-04-23 08:10:26.467746524,Uzbekistan,New Zealand,2,0,1.44,4.08,21.2,1.42,4.01,21.71
2002-04-23 08:34:59.370673683,Algeria,Jordan,2,2,2.74,4.08,3.0,2.66,4.09,2.96
2002-07-05 14:07:08.163241294,Kenya,Sweden,0,1,12.13,4.08,1.62,12.49,4.11,1.67
2002-07-06 13:20:09.217629105,Scotland,Panama,1,1,1.34,4.08,21.2,1.31,4.15,21.12
2002-07-07 18:22:21.173114106,Germany,Jordan,2,2,1.17,4.08,21.2,1.14,4.06,21.2
2002-07-08 07:25:12.961920806,Norway,Mexico,1,2,1.91,4.08,5.76,1.9,4.09,5.68
2002-07-09 11:46:11.323026361,Scotland,South Africa,4,1,3.09,4.08,2.67,3.03,4.01,2.7
2002-07-09 21:38:55.491120816,South Africa,Jordan,0,3,2.38,4.08,3.6,2.36,4.06,3.57
2002-07-10 04:19:53.338457445,Slovakia,Sweden,1,3,4.01,4.08,2.23,3.91,4.19,2.21
2002-07-10 09:36:26.233180307,Belgium,Bolivia,2,0,1.12,4.08,21.2,1.14,4.06,21.69
2002-09-30 19:11:29.343110446,Scotland,Cuba,1,0,1.31,4.08,21.2,1.31,4.18,21.13
2002-10-01 04:52:45.580904068,DR Congo,Bosnia and Herzegovina,4,0,1.74,4.08,8.03,1.71,3.99,8.02
2002-10-01 08:53:22.541688950,Haiti,Australia,0,1,16.31,4.08,1.57,16.36,4.15,1.59
2002-10-01 19:33:14.822819839,Austria,Kenya,3,0,1.11,4.08,21.2,1.11,4.2,21.61
2002-10-01 19:51:49.101116942,Colombia,Costa Rica,2,0,1.14,4.08,21.2,1.16,3.96,20.82
2002-10-01 20:58:22.167738114,Netherlands,Trinidad and Tobago,4,1,1.08,4.08,21.2,1.07,4.15,21.8
2002-10-02 14:26:30.855882127,DR Congo,Qatar,0,1,1.69,4.08,9.39,1.74,4.09,9.16
2002-10-03 00:41:12.939605213,Chile,Turkey,1,2,8.32,4.08,1.73,8.45,4.16,1.7
2002-12-11 02:40:17.999180740,United States,South Korea,1,1,2.24,4.08,3.96,2.21,4.18,4.06
2002-12-13 15:40:12.697005154,Australia,Curaçao,3,1,1.16,4.08,21.2,1.18,4.13,21.79
2002-12-13 20:57:17.563336605,New Zealand,Brazil,2,2,21.2,4.08,1.5,21.3,4.01,1.51
2002-12-17 15:55:08.408187929,Bolivia,Senegal,0,0,8.8,4.08,1.71,9.01,4.2,1.75
2002-12-18 06:21:09.608123907,Canada,Panama,1,1,1.31,4.08,21.2,1.33,4.13,20.83
2002-12-18 17:25:47.214874265,Belgium,Egypt,2,0,1.2,4.08,21.2,1.2,4.18,21.72
2002-12-19 12:46:27.260528364,Qatar,Croatia,0,1,21.2,4.08,1.51,21.79,4.03,1.54
2002-12-20 07:04:56.726113512,Iraq,Switzerland,1,2,4.12,4.08,2.2,4.01,4.12,2.18
2003-03-02 22:06:54.485498746,Trinidad and Tobago,Norway,1,6,21.2,4.08,1.49,21.78,4.01,1.48
2003-03-03 18:26:17.445427835,Netherlands,United States,2,1,1.82,4.08,6.67,1.77,3.97,6.57
2003-03-04 05:12:53.349227635,Germany,Argentina,2,3,2.06,4.08,4.69,2.09,3.99,4.7
2003-03-04 08:50:19.430491678,Venezuela,England,1,7,21.2,4.08,1.51,21.55,4.03,1.52
2003-03-04 15:41:27.712565870,Paraguay,Colombia,1,1,4.24,4.08,2.16,4.25,4.16,2.11
2003-03-04 23:10:54.318040447,Sweden,Venezuela,4,1,1.17,4.08,21.2,1.14,4.18,21.72
2003-03-07 06:16:28.872016348,Ghana,United States,1,2,4.5,4.08,2.1,4.41,4.02,2.09
2003-03-08 06:20:27.440027343,Senegal,South Africa,1,0,1.34,4.08,21.2,1.36,4.14,21.64
2003-05-12 22:05:44.890270407,Iran,Algeria,2,1,1.4,4.08,21.2,1.36,3.98,21.26
2003-05-13 10:18:01.293676489,Germany,Trinidad and Tobago,5,0,1.07,4.08,21.2,1.09,4.11,21.56
2003-05-16 21:33:16.113800207,Jordan,Trinidad and Tobago,0,1,1.36,4.08,21.2,1.38,4.03,21.25
2003-05-17 04:10:57.526485193,Canada,Uzbekistan,4,0,1.95,4.08,5.4,2.0,4.17,5.55
2003-05-18 17:37:50.707111253,Saudi Arabia,Peru,3,2,2.56,4.08,3.25,2.6,4.02,3.23
2003-05-18 23:13:30.618652560,Tunisia,Portugal,1,0,6.17,4.08,1.87,6.24,4.05,1.82
2003-05-19 17:12:59.272416625,Paraguay,Mexico,2,2,4.33,4.08,2.14,4.26,4.03,2.18
2003-05-19 22:06:13.971964846,Mexico,Cuba,1,0,1.11,4.08,21.2,1.09,4.15,20.97
2003-08-01 11:41:52.843525882,South Korea,Argentina,0,2,7.69,4.08,1.76,7.56,4.06,1.79
2003-08-02 11:51:59.148059635,Kenya,New Zealand,1,1,2.08,4.08,4.58,2.11,4.1,4.49
2003-08-03 10:11:10.297165343,Sweden,Kenya,2,2,1.16,4.08,21.2,1.18,4.14,21.16
2003-08-04 00:49:12.990197683,Morocco,Bosnia and Herzegovina,1,0,1.09,4.08,21.2,1.07,4.0,20.69
2003-08-04 10:37:19.845261464,United States,Australia,0,0,1.72,4.08,8.53,1.72,4.03,8.6
2003-08-04 11:46:01.247078166,France,Ghana,5,0,1.19,4.08,21.2,1.19,4.08,21.56
2003-08-05 09:33:25.264467849,Trinidad and Tobago,Croatia,0,5,21.2,4.08,1.5,21.77,4.0,1.54
2003-08-06 04:09:38.838646801,Netherlands,Cabo Verde,4,0,1.14,4.08,21.2,1.11,4.11,21.64
2003-10-17 02:12:06.453360473,Colombia,Qatar,1,1,1.1,4.08,21.2,1.13,3.96,21.03
2003-10-17 09:38:54.097944573,Nigeria,Ivory Coast,3,1,2.09,4.08,4.54,2.12,3.98,4.6
2003-10-17 19:19:36.337068150,Bolivia,United States,3,2,15.39,4.08,1.58,15.42,4.03,1.57
2003-10-18 17:11:29.007809954,Ghana,DR Congo,0,0,1.86,4.08,6.27,1.82,4.03,6.17
2003-10-19 08:56:09.651226609,Austria,France,0,2,4.73,4.08,2.05,4.79,4.19,2.09
2003-10-19 09:16:20.206332884,South Korea,United States,1,0,2.51,4.08,3.34,2.51,4.03,3.28
2003-10-19 15:07:38.464679568,Turkey,Austria,1,3,3.27,4.08,2.55,3.2,3.98,2.6
2003-10-19 16:50:36.783741049,Netherlands,Honduras,0,0,1.09,4.08,21.2,1.11,4.18,21.63
2003-12-28 20:12:18.615398284,Indonesia,Norway,0,2,14.9,4.08,1.58,15.07,3.96,1.58
2003-12-28 21:04:50.082005027,Germany,Ecuador,2,2,1.82,4.08,6.76,1.84,4.2,6.61
2003-12-28 21:42:44.373411000,Sweden,Jordan,2,2,1.39,4.08,21.2,1.43,3.98,21.15
2003-12-28 22:27:12.731034561,Algeria,Ecuador,0,2,4.08,4.08,2.21,4.09,4.08,2.2
2003-12-29 09:00:36.679901433,Honduras,Argentina,0,4,21.2,4.08,1.47,21.56,3.98,1.48
2003-12-29 09:26:45.502230708,Algeria,Belgium,0,3,10.88,4.08,1.65,10.86,4.12,1.64
2003-12-29 14:28:19.353667139,Brazil,Canada,3,0,1.3,4.08,21.2,1.33,4.06,20.85
2003-12-29 16:59:38.931053756,Chile,Ivory Coast,1,0,5.44,4.08,1.94,5.37,4.15,1.91
2004-03-06 15:49:51.073498546,Scotland,DR Congo,2,1,1.58,4.08,15.05,1.59,4.16,14.89
2004-03-06 20:44:20.426176690,DR Congo,Brazil,0,0,21.2,4.08,1.5,21.75,4.12,1.54
2004-03-07 04:58:16.591499349,France,Morocco,3,1,1.46,4.08,21.2,1.49,4.17,21.74
2004-03-08 08:33:41.846113198,Uruguay,Ivory Coast,3,0,1.25,4.08,21.2,1.23,3.96,20.62
2004-03-09 06:57:19.070624135,South Africa,Portugal,0,4,16.28,4.08,1.57,16.2,4.15,1.55
2004-03-09 16:22:27.305823114,Czechia,Curaçao,0,0,1.29,4.08,21.2,1.26,3.97,21.52
2004-03-10 16:21:24.952343050,Austria,Spain,1,1,5.11,4.08,1.99,5.09,4.01,2.0
2004-03-11 06:26:45.384737750,Nigeria,Senegal,0,0,3.33,4.08,2.51,3.29,4.19,2.54
2004-05-22 14:50:30.032534937,DR Congo,Czechia,2,0,3.46,4.08,2.44,3.38,4.03,2.45
2004-05-24 04:03:34.278364656,France,South Africa,1,1,1.2,4.08,21.2,1.19,4.01,20.83
2004-05-25 02:28:34.864976530,Brazil,Switzerland,2,0,1.52,4.08,21.2,1.56,4.06,20.82
2004-05-25 16:44:01.259446455,Egypt,Trinidad and Tobago,0,0,1.14,4.08,21.2,1.16,4.08,21.57
2004-05-26 16:12:41.304099222,South Korea,Indonesia,1,2,1.23,4.08,21.2,1.2,4.11,21.8
2004-05-28 00:11:26.255827532,Kenya,Uruguay,1,2,16.87,4.08,1.57,16.69,4.09,1.61
2004-05-28 03:03:26.802699929,Chile,Bolivia,1,2,2.8,4.08,2.93,2.84,4.01,2.94
2004-05-28 05:14:27.230668359,Czechia,Croatia,1,1,10.24,4.08,1.67,10.49,4.16,1.69
2004-07-27 13:07:48.347442974,Peru,Austria,3,2,4.79,4.08,2.04,4.72,4.01,2.01
2004-07-27 20:51:40.536498206,Portugal,South Africa,3,0,1.14,4.08,21.2,1.16,4.04,21.42
2004-07-28 06:37:10.253486721,United States,South Africa,3,1,1.24,4.08,21.2,1.24,3.99,20.69
2004-07-28 19:10:54.040807086,Ecuador,Germany,1,1,3.6,4.08,2.38,3.64,4.09,2.43
2004-07-29 00:43:33.101291110,Bolivia,Norway,0,4,9.15,4.08,1.7,9.4,4.03,1.69
2004-07-29 12:43:58.559091787,Scotland,Kenya,3,1,1.66,4.08,10.29,1.65,4.17,10.44
2004-07-29 16:58:36.397029109,Bolivia,Honduras,0,0,1.9,4.08,5.82,1.89,4.18,5.78
2004-07-30 05:18:30.671941135,South Korea,Australia,4,0,1.77,4.08,7.54,1.79,4.03,7.42
2004-10-14 14:03:50.922602232,Honduras,Slovakia,1,1,4.12,4.08,2.19,4.13,4.1,2.23
2004-10-14 14:17:06.389428992,France,Curaçao,1,1,1.08,4.08,21.2,1.09,3.98,21.26
2004-10-15 05:40:29.679160389,Norway,Curaçao,1,2,1.1,4.08,21.2,1.13,4.0,20.93
2004-10-15 11:58:46.960474801,Chile,DR Congo,0,1,1.98,4.08,5.21,1.97,4.09,5.29
2004-10-15 19:52:11.194188058,Trinidad and Tobago,England,0,6,21.2,4.08,1.46,21.11,4.16,1.49
2004-10-15 23:45:31.073689549,Czechia,Egypt,0,2,2.75,4.08,2.99,2.78,4.2,2.93
2004-10-16 04:59:12.178632685,Norway,Indonesia,1,1,1.19,4.08,21.2,1.2,4.11,21.0
2004-10-17 11:58:20.171836866,Ghana,Ecuador,0,1,3.87,4.08,2.27,3.86,4.03,2.23
2004-12-31 05:08:20.525966565,Croatia,Uruguay,3,0,1.71,4.08,8.85,1.69,4.01,8.77
2005-01-01 16:32:20.882818687,Costa Rica,Peru,0,1,9.27,4.08,1.69,9.06,4.01,1.68
2005-01-02 20:13:08.319422235,Ivory Coast,Czechia,0,1,1.78,4.08,7.27,1.81,4.03,7.41
2005-01-04 06:52:32.817986663,Turkey,England,0,0,5.53,4.08,1.93,5.38,4.01,1.96
2005-01-06 04:11:36.649717996,Ivory Coast,Haiti,0,0,1.25,4.08,21.2,1.28,3.97,21.63
2005-01-06 11:38:49.835971319,Croatia,Qatar,1,0,1.11,4.08,21.2,1.11,4.07,20.94
2005-01-06 19:11:22.274619006,Germany,Netherlands,0,0,1.89,4.08,5.95,1.87,4.17,6.12
2005-01-06 23:12:46.068410650,Cabo Verde,Iran,0,0,5.06,4.08,2.0,5.14,3.97,2.02
2005-03-16 18:31:23.739110382,France,Brazil,2,0,1.62,4.08,12.33,1.58,4.19,12.23
2005-03-17 13:13:48.417167651,Indonesia,Saudi Arabia,0,0,2.24,4.08,3.98,2.27,4.07,4.03
2005-03-18 01:41:02.916334880,Kenya,Haiti,1,1,1.67,4.08,9.94,1.67,3.99,9.67
2005-03-18 18:48:25.035906958,Japan,Bolivia,2,0,1.19,4.08,21.2,1.16,4.06,21.34
2005-03-18 21:25:09.540514835,Honduras,United States,0,4,15.73,4.08,1.58,15.6,4.18,1.61
2005-03-19 12:59:22.070642859,Kenya,Honduras,1,1,1.89,4.08,5.93,1.91,4.07,5.93
2005-03-20 12:43:35.753180018,Brazil,Mexico,0,0,1.38,4.08,21.2,1.34,4.04,21.74
2005-03-23 09:55:17.077279294,Algeria,Turkey,0,3,3.6,4.08,2.38,3.53,4.11,2.4
2005-06-08 05:04:35.853906903,Tunisia,New Zealand,0,0,1.45,4.08,21.2,1.43,4.03,20.86
2005-06-09 14:41:23.987102450,Honduras,DR Congo,2,0,2.58,4.08,3.23,2.61,4.03,3.25
2005-06-09 18:13:37.388700426,Ivory Coast,Portugal,0,1,11.45,4.08,1.64,11.29,3.99,1.65
2005-06-10 07:08:40.635736467,Nigeria,Scotland,1,1,1.34,4.08,21.2,1.33,4.05,21.5
2005-06-10 15:34:01.224439910,Bosnia and Herzegovina,South Korea,1,2,7.66,4.08,1.76,7.49,4.17,1.77
2005-06-10 19:25:19.601430351,Chile,Portugal,2,3,15.84,4.08,1.57,15.44,4.07,1.54
2005-06-11 17:18:54.553426879,Canada,Peru,2,0,1.63,4.08,11.89,1.59,4.19,11.86
2005-06-11 18:34:52.232450956,Bolivia,Nigeria,0,2,4.48,4.08,2.11,4.46,4.06,2.07
2005-08-30 12:59:03.780885663,Paraguay,Colombia,1,0,3.71,4.08,2.33,3.79,4.08,2.28
2005-08-30 13:59:24.609983390,England,Ivory Coast,2,2,1.2,4.08,21.2,1.21,4.13,20.79
2005-08-30 15:38:59.252986145,Kenya,Mexico,1,1,14.32,4.08,1.59,14.72,4.11,1.58
2005-09-01 17:12:30.649355169,United States,Trinidad and Tobago,3,0,1.1,4.08,21.2,1.1,4.11,21.83
2005-09-02 13:04:18.329510443,Iran,Paraguay,0,0,2.71,4.08,3.04,2.78,3.97,3.13
2005-09-02 19:54:48.386412956,Trinidad and Tobago,South Africa,0,0,6.47,4.08,1.84,6.33,3.98,1.79
2005-09-05 00:48:59.267797296,Bosnia and Herzegovina,Netherlands,0,1,21.2,4.08,1.5,21.78,4.13,1.48
2005-09-07 19:34:04.644703945,Haiti,Trinidad and Tobago,2,1,2.31,4.08,3.76,2.27,4.04,3.77
2005-11-11 00:58:35.361538092,Qatar,Czechia,3,1,3.61,4.08,2.37,3.66,3.99,2.44
2005-11-11 04:44:52.812703493,Scotland,Brazil,0,1,12.84,4.08,1.61,13.13,4.11,1.58
2005-11-11 13:41:53.651573477,Canada,Uzbekistan,1,1,1.76,4.08,7.72,1.75,4.18,7.79
2005-11-12 05:31:01.326765004,Argentina,Norway,1,1,1.48,4.08,21.2,1.49,4.07,20.96
2005-11-12 09:14:24.292515225,Haiti,Venezuela,1,2,3.19,4.08,2.6,3.24,4.13,2.61
2005-11-12 15:47:58.117564938,Algeria,Mexico,0,1,7.96,4.08,1.75,8.2,4.19,1.71
2005-11-12 19:04:58.634945640,Germany,Uzbekistan,0,0,1.24,4.08,21.2,1.23,4.18,21.38
2005-11-13 23:04:11.382522052,Egypt,Argentina,1,6,8.65,4.08,1.72,8.78,4.14,1.76
2006-02-06 17:51:50.287979721,Indonesia,Australia,1,1,9.78,4.08,1.68,9.71,4.11,1.64
2006-02-08 01:00:45.242754550,Haiti,Ghana,0,2,4.01,4.08,2.23,3.94,4.05,2.18
2006-02-08 21:04:18.596225792,Algeria,Sweden,1,2,7.89,4.08,1.75,7.8,4.03,1.75
2006-02-09 01:01:46.363280297,Iran,Panama,1,1,1.25,4.08,21.2,1.25,4.14,21.45
2006-02-10 11:34:23.972051391,Czechia,Peru,2,2,3.09,4.08,2.67,3.12,4.01,2.73
2006-02-11 04:45:00.773682491,Czechia,Tunisia,1,2,2.86,4.08,2.87,2.89,4.1,2.92
2006-02-11 23:52:19.003725029,Ivory Coast,Uzbekistan,0,1,1.73,4.08,8.36,1.71,4.05,8.23
2006-02-13 20:27:23.347913465,Australia,Brazil,2,2,3.33,4.08,2.51,3.23,4.01,2.45
2006-04-21 14:48:43.691648974,Ghana,United States,1,2,4.29,4.08,2.15,4.34,4.0,2.19
2006-04-21 17:31:35.856705319,New Zealand,Australia,1,1,8.41,4.08,1.73,8.24,4.1,1.69
2006-04-22 00:59:39.315262999,Trinidad and Tobago,Ecuador,1,0,21.2,4.08,1.49,21.45,4.07,1.46
2006-04-22 23:17:31.158468822,DR Congo,Spain,1,7,21.2,4.08,1.47,20.99,4.03,1.49
2006-04-23 10:23:06.308240877,Austria,Colombia,0,1,2.07,4.08,4.67,2.04,4.19,4.58
2006-04-24 10:18:06.848866323,Tunisia,Saudi Arabia,0,2,1.84,4.08,6.45,1.82,4.2,6.37
2006-04-24 15:18:11.543830881,Australia,Argentina,0,4,7.24,4.08,1.79,7.14,4.05,1.83
2006-04-26 09:26:59.585187655,Portugal,Cabo Verde,2,2,1.15,4.08,21.2,1.15,4.2,20.69
2006-06-27 16:01:53.265216447,South Africa,Bosnia and Herzegovina,1,0,1.39,4.08,21.2,1.37,4.1,21.74
2006-06-27 17:01:38.960897336,Senegal,Cabo Verde,2,0,1.39,4.08,21.2,1.4,4.07,20.6
2006-06-27 19:04:48.045288824,Austria,Switzerland,2,2,1.62,4.08,12.21,1.62,4.0,11.98
2006-06-28 20:52:40.945925291,Canada,Indonesia,2,0,1.21,4.08,21.2,1.18,3.96,21.7
2006-06-29 11:46:09.397091991,Slovakia,Senegal,1,2,6.73,4.08,1.82,6.89,4.03,1.8
2006-06-30 00:46:48.908341349,Japan,Kenya,2,1,1.16,4.08,21.2,1.15,3.99,21.36
2006-06-30 02:53:51.505049746,Morocco,Sweden,2,1,1.67,4.08,10.24,1.7,4.16,10.15
2006-06-30 08:02:32.726198110,Croatia,Honduras,0,1,1.1,4.08,21.2,1.09,4.06,21.18
