date,team,elo
2006-09-01,Argentina,2016.4
2006-10-01,Argentina,2012.3
2006-11-01,Argentina,2010.9
2006-12-01,Argentina,2017.0
2007-01-01,Argentina,2018.8
2007-02-01,Argentina,2011.8
2007-03-01,Argentina,1999.9
2007-04-01,Argentina,2027.3
2007-05-01,Argentina,2007.8
2007-06-01,Argentina,1993.2
2007-07-01,Argentina,2025.2
2007-08-01,Argentina,2016.9
2007-09-01,Argentina,2012.2
2007-10-01,Argentina,2011.5
2007-11-01,Argentina,2019.1
2007-12-01,Argentina,2029.8
2008-01-01,Argentina,2012.8
2008-02-01,Argentina,2009.3
2008-03-01,Argentina,2014.0
2008-04-01,Argentina,2004.8
2008-05-01,Argentina,2014.7
2008-06-01,Argentina,2025.8
2008-07-01,Argentina,2017.3
2008-08-01,Argentina,2019.4
2008-09-01,Argentina,2023.9
2008-10-01,Argentina,2013.6
2008-11-01,Argentina,2006.6
2008-12-01,Argentina,2014.4
2009-01-01,Argentina,2018.6
2009-02-01,Argentina,2026.2
2009-03-01,Argentina,2025.7
2009-04-01,Argentina,2003.2
2009-05-01,Argentina,2007.1
2009-06-01,Argentina,2028.8
2009-07-01,Argentina,2010.2
2009-08-01,Argentina,2027.9
2009-09-01,Argentina,1999.2
2009-10-01,Argentina,2034.0
2009-11-01,Argentina,2020.1
2009-12-01,Argentina,2028.9
2010-01-01,Argentina,2024.9
2010-02-01,Argentina,2035.8
2010-03-01,Argentina,2035.4
2010-04-01,Argentina,2022.7
2010-05-01,Argentina,2011.8
2010-06-01,Argentina,2009.8
2010-07-01,Argentina,2016.0
2010-08-01,Argentina,2016.4
2010-09-01,Argentina,2035.8
2010-10-01,Argentina,2019.3
2010-11-01,Argentina,2026.5
2010-12-01,Argentina,2011.6
2011-01-01,Argentina,2024.8
2011-02-01,Argentina,2027.7
2011-03-01,Argentina,2027.2
2011-04-01,Argentina,2017.0
2011-05-01,Argentina,2032.7
2011-06-01,Argentina,2034.0
2011-07-01,Argentina,2025.2
2011-08-01,Argentina,2010.4
2011-09-01,Argentina,2032.4
2011-10-01,Argentina,2029.7
2011-11-01,Argentina,2038.3
2011-12-01,Argentina,2018.9
2012-01-01,Argentina,2045.3
2012-02-01,Argentina,2027.0
2012-03-01,Argentina,2049.1
2012-04-01,Argentina,2025.4
2012-05-01,Argentina,2034.4
2012-06-01,Argentina,2017.0
2012-07-01,Argentina,2029.3
2012-08-01,Argentina,2029.7
2012-09-01,Argentina,2034.4
2012-10-01,Argentina,2028.3
2012-11-01,Argentina,2029.7
2012-12-01,Argentina,2040.2
2013-01-01,Argentina,2029.6
2013-02-01,Argentina,2031.6
2013-03-01,Argentina,2038.3
2013-04-01,Argentina,2035.7
2013-05-01,Argentina,2033.8
2013-06-01,Argentina,2035.5
2013-07-01,Argentina,2024.2
2013-08-01,Argentina,2050.7
2013-09-01,Argentina,2030.8
2013-10-01,Argentina,2027.7
2013-11-01,Argentina,2036.8
2013-12-01,Argentina,2025.7
2014-01-01,Argentina,2035.7
2014-02-01,Argentina,2048.6
2014-03-01,Argentina,2039.0
2014-04-01,Argentina,2032.9
2014-05-01,Argentina,2029.5
2014-06-01,Argentina,2041.6
2014-07-01,Argentina,2031.5
2014-08-01,Argentina,2031.2
2014-09-01,Argentina,2041.5
2014-10-01,Argentina,2045.6
2014-11-01,Argentina,2032.9
2014-12-01,Argentina,2026.5
2015-01-01,Argentina,2039.7
2015-02-01,Argentina,2047.6
2015-03-01,Argentina,2045.4
2015-04-01,Argentina,2037.1
2015-05-01,Argentina,2045.6
2015-06-01,Argentina,2037.1
2015-07-01,Argentina,2033.9
2015-08-01,Argentina,2054.3
2015-09-01,Argentina,2052.0
2015-10-01,Argentina,2035.3
2015-11-01,Argentina,2046.8
2015-12-01,Argentina,2031.8
2016-01-01,Argentina,2058.1
2016-02-01,Argentina,2051.7
2016-03-01,Argentina,2048.2
2016-04-01,Argentina,2035.7
2016-05-01,Argentina,2055.2
2016-06-01,Argentina,2049.2
2016-07-01,Argentina,2050.7
2016-08-01,Argentina,2055.9
2016-09-01,Argentina,2051.3
2016-10-01,Argentina,2036.6
2016-11-01,Argentina,2055.6
2016-12-01,Argentina,2040.3
2017-01-01,Argentina,2047.9
2017-02-01,Argentina,2047.6
2017-03-01,Argentina,2039.7
2017-04-01,Argentina,2044.1
2017-05-01,Argentina,2041.6
2017-06-01,Argentina,2042.0
2017-07-01,Argentina,2049.5
2017-08-01,Argentina,2056.8
2017-09-01,Argentina,2065.4
2017-10-01,Argentina,2054.8
2017-11-01,Argentina,2063.9
2017-12-01,Argentina,2040.9
2018-01-01,Argentina,2068.3
2018-02-01,Argentina,2051.7
2018-03-01,Argentina,2072.0
2018-04-01,Argentina,2046.5
2018-05-01,Argentina,2062.8
2018-06-01,Argentina,2044.6
2018-07-01,Argentina,2045.2
2018-08-01,Argentina,2072.1
2018-09-01,Argentina,2047.4
2018-10-01,Argentina,2056.2
2018-11-01,Argentina,2044.8
2018-12-01,Argentina,2054.5
2019-01-01,Argentina,2074.3
2019-02-01,Argentina,2060.3
2019-03-01,Argentina,2053.8
2019-04-01,Argentina,2054.9
2019-05-01,Argentina,2057.1
2019-06-01,Argentina,2058.5
2019-07-01,Argentina,2061.3
2019-08-01,Argentina,2064.5
2019-09-01,Argentina,2053.1
2019-10-01,Argentina,2062.9
2019-11-01,Argentina,2044.7
2019-12-01,Argentina,2059.7
2020-01-01,Argentina,2055.9
2020-02-01,Argentina,2060.6
2020-03-01,Argentina,2066.1
2020-04-01,Argentina,2072.9
2020-05-01,Argentina,2059.7
2020-06-01,Argentina,2064.7
2020-07-01,Argentina,2063.5
2020-08-01,Argentina,2047.7
2020-09-01,Argentina,2064.0
2020-10-01,Argentina,2078.2
2020-11-01,Argentina,2069.5
2020-12-01,Argentina,2058.8
2021-01-01,Argentina,2062.5
2021-02-01,Argentina,2061.3
2021-03-01,Argentina,2071.0
2021-04-01,Argentina,2066.3
2021-05-01,Argentina,2054.0
2021-06-01,Argentina,2071.3
2021-07-01,Argentina,2070.3
2021-08-01,Argentina,2065.8
2021-09-01,Argentina,2067.5
2021-10-01,Argentina,2059.0
2021-11-01,Argentina,2077.9
2021-12-01,Argentina,2054.1
2022-01-01,Argentina,2069.2
2022-02-01,Argentina,2069.8
2022-03-01,Argentina,2066.6
2022-04-01,Argentina,2070.1
2022-05-01,Argentina,2061.7
2022-06-01,Argentina,2065.1
2022-07-01,Argentina,2061.9
2022-08-01,Argentina,2068.2
2022-09-01,Argentina,2081.0
2022-10-01,Argentina,2073.8
2022-11-01,Argentina,2059.5
2022-12-01,Argentina,2067.6
2023-01-01,Argentina,2073.2
2023-02-01,Argentina,2068.2
2023-03-01,Argentina,2069.8
2023-04-01,Argentina,2083.8
2023-05-01,Argentina,2059.9
2023-06-01,Argentina,2076.9
2023-07-01,Argentina,2059.0
2023-08-01,Argentina,2075.8
2023-09-01,Argentina,2066.6
2023-10-01,Argentina,2078.6
2023-11-01,Argentina,2089.2
2023-12-01,Argentina,2073.0
2024-01-01,Argentina,2088.0
2024-02-01,Argentina,2082.8
2024-03-01,Argentina,2081.0
2024-04-01,Argentina,2068.9
2024-05-01,Argentina,2086.2
2024-06-01,Argentina,2080.7
2024-07-01,Argentina,2069.0
2024-08-01,Argentina,2070.0
2024-09-01,Argentina,2072.9
2024-10-01,Argentina,2070.4
2024-11-01,Argentina,2076.2
2024-12-01,Argentina,2081.9
2025-01-01,Argentina,2079.4
2025-02-01,Argentina,2082.9
2025-03-01,Argentina,2071.2
2025-04-01,Argentina,2089.5
2025-05-01,Argentina,2088.2
2025-06-01,Argentina,2097.9
2025-07-01,Argentina,2072.8
2025-08-01,Argentina,2071.9
2025-09-01,Argentina,2070.6
2025-10-01,Argentina,2091.0
2025-11-01,Argentina,2069.9
2025-12-01,Argentina,2077.6
2026-01-01,Argentina,2072.4
2026-02-01,Argentina,2085.6
2026-03-01,Argentina,2086.8
2026-04-01,Argentina,2088.7
2026-05-01,Argentina,2084.2
2000-01-01,France,1960.8
2000-02-01,France,1974.1
2000-03-01,France,1970.5
2000-04-01,France,1970.4
2000-05-01,France,1963.0
2000-06-01,France,1973.2
2000-07-01,France,1976.7
2000-08-01,France,1963.3
2000-09-01,France,1959.2
2000-10-01,France,1976.0
2000-11-01,France,1955.6
2000-12-01,France,1962.0
2001-01-01,France,1967.7
2001-02-01,France,1967.0
2001-03-01,France,1979.7
2001-04-01,France,1983.1
2001-05-01,France,1981.9
2001-06-01,France,1966.4
2001-07-01,France,1985.8
2001-08-01,France,1963.6
2001-09-01,France,1975.8
2001-10-01,France,1975.3
2001-11-01,France,1986.0
2001-12-01,France,1977.9
2002-01-01,France,1991.2
2002-02-01,France,1970.7
2002-03-01,France,1984.5
2002-04-01,France,1986.8
2002-05-01,France,1982.1
2002-06-01,France,1971.1
2002-07-01,France,1975.5
2002-08-01,France,1982.7
2002-09-01,France,1983.9
2002-10-01,France,1970.0
2002-11-01,France,1968.6
2002-12-01,France,1987.9
2003-01-01,France,1989.5
2003-02-01,France,1991.8
2003-03-01,France,1996.2
2003-04-01,France,1982.8
2003-05-01,France,1969.1
2003-06-01,France,1993.2
2003-07-01,France,1980.5
2003-08-01,France,1995.4
2003-09-01,France,1975.0
2003-10-01,France,1989.3
2003-11-01,France,1973.2
2003-12-01,France,1993.5
2004-01-01,France,1973.1
2004-02-01,France,1986.0
2004-03-01,France,1984.5
2004-04-01,France,1980.2
2004-05-01,France,1985.3
2004-06-01,France,1979.5
2004-07-01,France,1983.0
2004-08-01,France,1986.6
2004-09-01,France,1978.6
2004-10-01,France,1984.5
2004-11-01,France,1991.1
2004-12-01,France,1978.3
2005-01-01,France,1990.0
2005-02-01,France,1980.5
2005-03-01,France,2002.3
2005-04-01,France,1992.5
2005-05-01,France,1978.6
2005-06-01,France,2003.9
2005-07-01,France,1992.1
2005-08-01,France,1982.2
2005-09-01,France,2008.8
2005-10-01,France,1988.0
2005-11-01,France,1976.3
2005-12-01,France,1999.1
2006-01-01,France,1995.5
2006-02-01,France,2004.0
2006-03-01,France,1994.1
2006-04-01,France,1987.4
2006-05-01,France,1983.5
2006-06-01,France,1986.9
2006-07-01,France,1987.5
2006-08-01,France,1980.2
2006-09-01,France,1986.9
2006-10-01,France,1991.6
2006-11-01,France,1990.7
2006-12-01,France,1967.4
2007-01-01,France,1988.0
2007-02-01,France,1995.6
2007-03-01,France,1991.5
2007-04-01,France,2001.0
2007-05-01,France,1992.2
2007-06-01,France,1996.0
2007-07-01,France,2000.0
2007-08-01,France,2004.6
2007-09-01,France,1997.4
2007-10-01,France,1982.9
2007-11-01,France,2007.9
2007-12-01,France,2004.9
2008-01-01,France,1992.5
2008-02-01,France,2002.8
2008-03-01,France,1993.3
2008-04-01,France,1996.6
2008-05-01,France,2006.4
2008-06-01,France,2002.3
2008-07-01,France,2003.4
2008-08-01,France,2004.2
2008-09-01,France,2012.0
2008-10-01,France,2006.1
2008-11-01,France,2001.0
2008-12-01,France,1998.1
2009-01-01,France,2003.3
2009-02-01,France,2002.0
2009-03-01,France,2005.3
2009-04-01,France,1994.1
2009-05-01,France,2004.8
2009-06-01,France,2014.6
2009-07-01,France,2004.9
2009-08-01,France,2004.2
2009-09-01,France,1990.9
2009-10-01,France,1993.4
2009-11-01,France,1994.2
2009-12-01,France,2001.8
2010-01-01,France,2005.2
2010-02-01,France,2004.4
2010-03-01,France,2008.8
2010-04-01,France,2017.7
2010-05-01,France,2013.5
2010-06-01,France,2021.6
2010-07-01,France,1995.5
2010-08-01,France,2010.2
2010-09-01,France,2006.2
2010-10-01,France,2013.5
2010-11-01,France,2002.7
2010-12-01,France,2009.4
2011-01-01,France,2008.5
2011-02-01,France,2015.7
2011-03-01,France,2022.2
2011-04-01,France,1996.1
2011-05-01,France,2009.1
2011-06-01,France,2026.0
2011-07-01,France,2020.2
2011-08-01,France,2016.8
2011-09-01,France,2005.4
2011-10-01,France,2006.3
2011-11-01,France,2013.4
2011-12-01,France,2011.3
2012-01-01,France,2006.9
2012-02-01,France,2012.3
2012-03-01,France,2035.4
2012-04-01,France,2019.4
2012-05-01,France,2003.8
2012-06-01,France,2029.6
2012-07-01,France,2011.4
2012-08-01,France,2030.9
2012-09-01,France,2023.7
2012-10-01,France,1992.7
2012-11-01,France,1999.5
2012-12-01,France,2015.9
2013-01-01,France,2023.6
2013-02-01,France,2024.9
2013-03-01,France,2028.1
2013-04-01,France,2018.6
2013-05-01,France,2008.2
2013-06-01,France,2016.9
2013-07-01,France,2004.5
2013-08-01,France,2017.2
2013-09-01,France,2029.7
2013-10-01,France,2032.1
2013-11-01,France,2016.1
2013-12-01,France,2023.2
2014-01-01,France,2012.7
2014-02-01,France,2031.3
2014-03-01,France,2017.6
2014-04-01,France,2020.5
2014-05-01,France,2029.1
2014-06-01,France,2020.4
2014-07-01,France,2027.6
2014-08-01,France,2020.9
2014-09-01,France,2027.2
2014-10-01,France,2023.8
2014-11-01,France,2032.9
2014-12-01,France,2017.7
2015-01-01,France,2033.7
2015-02-01,France,2027.4
2015-03-01,France,2031.1
2015-04-01,France,2022.0
2015-05-01,France,2040.1
2015-06-01,France,2031.7
2015-07-01,France,2017.5
2015-08-01,France,2034.9
2015-09-01,France,2043.3
2015-10-01,France,2020.0
2015-11-01,France,2020.0
2015-12-01,France,2039.2
2016-01-01,France,2026.3
2016-02-01,France,2039.2
2016-03-01,France,2033.5
2016-04-01,France,2027.9
2016-05-01,France,2031.9
2016-06-01,France,2040.5
2016-07-01,France,2035.0
2016-08-01,France,2023.8
2016-09-01,France,2028.6
2016-10-01,France,2039.4
2016-11-01,France,2045.7
2016-12-01,France,2037.4
2017-01-01,France,2054.6
2017-02-01,France,2033.6
2017-03-01,France,2041.2
2017-04-01,France,2037.9
2017-05-01,France,2050.6
2017-06-01,France,2035.8
2017-07-01,France,2044.6
2017-08-01,France,2034.8
2017-09-01,France,2029.9
2017-10-01,France,2049.5
2017-11-01,France,2034.4
2017-12-01,France,2036.9
2018-01-01,France,2032.1
2018-02-01,France,2046.9
2018-03-01,France,2029.1
2018-04-01,France,2029.4
2018-05-01,France,2048.7
2018-06-01,France,2039.8
2018-07-01,France,2036.4
2018-08-01,France,2030.2
2018-09-01,France,2043.7
2018-10-01,France,2046.4
2018-11-01,France,2042.8
2018-12-01,France,2025.3
2019-01-01,France,2052.3
2019-02-01,France,2045.9
2019-03-01,France,2039.4
2019-04-01,France,2044.1
2019-05-01,France,2034.5
2019-06-01,France,2048.1
2019-07-01,France,2041.4
2019-08-01,France,2049.9
2019-09-01,France,2046.7
2019-10-01,France,2045.5
2019-11-01,France,2047.8
2019-12-01,France,2049.9
2020-01-01,France,2037.3
2020-02-01,France,2055.1
2020-03-01,France,2032.8
2020-04-01,France,2045.9
2020-05-01,France,2058.1
2020-06-01,France,2048.7
2020-07-01,France,2045.0
2020-08-01,France,2043.2
2020-09-01,France,2038.1
2020-10-01,France,2061.2
2020-11-01,France,2035.0
2020-12-01,France,2037.5
2021-01-01,France,2037.2
2021-02-01,France,2063.6
2021-03-01,France,2048.8
2021-04-01,France,2056.2
2021-05-01,France,2055.8
2021-06-01,France,2055.3
2021-07-01,France,2052.0
2021-08-01,France,2052.4
2021-09-01,France,2061.1
2021-10-01,France,2051.1
2021-11-01,France,2045.6
2021-12-01,France,2060.9
2022-01-01,France,2058.6
2022-02-01,France,2037.1
2022-03-01,France,2051.0
2022-04-01,France,2053.0
2022-05-01,France,2066.3
2022-06-01,France,2055.1
2022-07-01,France,2048.9
2022-08-01,France,2046.1
2022-09-01,France,2054.9
2022-10-01,France,2062.5
2022-11-01,France,2068.7
2022-12-01,France,2043.8
2023-01-01,France,2060.1
2023-02-01,France,2055.2
2023-03-01,France,2057.6
2023-04-01,France,2052.5
2023-05-01,France,2046.8
2023-06-01,France,2061.5
2023-07-01,France,2055.5
2023-08-01,France,2064.9
2023-09-01,France,2059.4
2023-10-01,France,2071.6
2023-11-01,France,2068.7
2023-12-01,France,2074.8
2024-01-01,France,2055.3
2024-02-01,France,2072.7
2024-03-01,France,2063.4
2024-04-01,France,2067.1
2024-05-01,France,2062.5
2024-06-01,France,2063.8
2024-07-01,France,2059.5
2024-08-01,France,2072.7
2024-09-01,France,2056.1
2024-10-01,France,2062.7
2024-11-01,France,2068.1
2024-12-01,France,2059.8
2025-01-01,France,2074.3
2025-02-01,France,2063.6
2025-03-01,France,2064.9
2025-04-01,France,2076.3
2025-05-01,France,2062.5
2025-06-01,France,2074.7
2025-07-01,France,2071.8
2025-08-01,France,2082.6
2025-09-01,France,2062.0
2025-10-01,France,2064.0
2025-11-01,France,2068.7
2025-12-01,France,2064.1
2026-01-01,France,2073.8
2026-02-01,France,2071.6
2026-03-01,France,2060.7
2026-04-01,France,2064.1
2026-05-01,France,2084.0
2000-01-01,Spain,1951.9
2000-02-01,Spain,1958.7
2000-03-01,Spain,1950.3
2000-04-01,Spain,1949.2
2000-05-01,Spain,1963.9
2000-06-01,Spain,1957.3
2000-07-01,Spain,1947.8
2000-08-01,Spain,1956.9
2000-09-01,Spain,1958.4
2000-10-01,Spain,1968.9
2000-11-01,Spain,1939.0
2000-12-01,Spain,1964.0
2001-01-01,Spain,1956.0
2001-02-01,Spain,1974.7
2001-03-01,Spain,1972.2
2001-04-01,Spain,1973.7
2001-05-01,Spain,1955.8
2001-06-01,Spain,1948.9
2001-07-01,Spain,1959.2
2001-08-01,Spain,1952.1
2001-09-01,Spain,1958.6
2001-10-01,Spain,1948.6
2001-11-01,Spain,1955.8
2001-12-01,Spain,1970.4
2002-01-01,Spain,1964.9
2002-02-01,Spain,1954.4
2002-03-01,Spain,1967.6
2002-04-01,Spain,1957.8
2002-05-01,Spain,1972.3
2002-06-01,Spain,1970.6
2002-07-01,Spain,1968.1
2002-08-01,Spain,1976.8
2002-09-01,Spain,1961.3
2002-10-01,Spain,1978.6
2002-11-01,Spain,1966.8
2002-12-01,Spain,1969.2
2003-01-01,Spain,1949.4
2003-02-01,Spain,1965.5
2003-03-01,Spain,1964.6
2003-04-01,Spain,1957.6
2003-05-01,Spain,1959.1
2003-06-01,Spain,1976.3
2003-07-01,Spain,1971.9
2003-08-01,Spain,1972.2
2003-09-01,Spain,1983.4
2003-10-01,Spain,1970.8
2003-11-01,Spain,1977.8
2003-12-01,Spain,1969.1
2004-01-01,Spain,1965.7
2004-02-01,Spain,1970.6
2004-03-01,Spain,1976.0
2004-04-01,Spain,1958.0
2004-05-01,Spain,1972.6
2004-06-01,Spain,1974.5
2004-07-01,Spain,1964.8
2004-08-01,Spain,1959.8
2004-09-01,Spain,1974.8
2004-10-01,Spain,1971.4
2004-11-01,Spain,1980.0
2004-12-01,Spain,1971.8
2005-01-01,Spain,1956.9
2005-02-01,Spain,1974.5
2005-03-01,Spain,1980.5
2005-04-01,Spain,1963.7
2005-05-01,Spain,1961.4
2005-06-01,Spain,1979.7
2005-07-01,Spain,1983.2
2005-08-01,Spain,1972.3
2005-09-01,Spain,1977.3
2005-10-01,Spain,1966.7
2005-11-01,Spain,1969.8
2005-12-01,Spain,1978.0
2006-01-01,Spain,1979.6
2006-02-01,Spain,1981.2
2006-03-01,Spain,1982.0
2006-04-01,Spain,1996.9
2006-05-01,Spain,1955.1
2006-06-01,Spain,1983.3
2006-07-01,Spain,1973.7
2006-08-01,Spain,1971.5
2006-09-01,Spain,1981.5
2006-10-01,Spain,1980.2
2006-11-01,Spain,1984.5
2006-12-01,Spain,1979.0
2007-01-01,Spain,1975.2
2007-02-01,Spain,1972.0
2007-03-01,Spain,1977.3
2007-04-01,Spain,1987.6
2007-05-01,Spain,1989.8
2007-06-01,Spain,1967.9
2007-07-01,Spain,1979.9
2007-08-01,Spain,1979.4
2007-09-01,Spain,1984.3
2007-10-01,Spain,1976.5
2007-11-01,Spain,1969.9
2007-12-01,Spain,1978.9
2008-01-01,Spain,1995.6
2008-02-01,Spain,1968.7
2008-03-01,Spain,1976.3
2008-04-01,Spain,1984.8
2008-05-01,Spain,1980.9
2008-06-01,Spain,1976.5
2008-07-01,Spain,1980.1
2008-08-01,Spain,1988.3
2008-09-01,Spain,1987.7
2008-10-01,Spain,1992.7
2008-11-01,Spain,1990.8
2008-12-01,Spain,1974.7
2009-01-01,Spain,1993.9
2009-02-01,Spain,1995.0
2009-03-01,Spain,1985.6
2009-04-01,Spain,1999.5
2009-05-01,Spain,1984.6
2009-06-01,Spain,1998.1
2009-07-01,Spain,1994.4
2009-08-01,Spain,1988.2
2009-09-01,Spain,1981.7
2009-10-01,Spain,1985.0
2009-11-01,Spain,1984.3
2009-12-01,Spain,2004.1
2010-01-01,Spain,2002.1
2010-02-01,Spain,2001.5
2010-03-01,Spain,1996.1
2010-04-01,Spain,1989.5
2010-05-01,Spain,1999.3
2010-06-01,Spain,1986.1
2010-07-01,Spain,2005.6
2010-08-01,Spain,1981.3
2010-09-01,Spain,1984.9
2010-10-01,Spain,1998.5
2010-11-01,Spain,1991.0
2010-12-01,Spain,2003.2
2011-01-01,Spain,2007.2
2011-02-01,Spain,1977.7
2011-03-01,Spain,1990.6
2011-04-01,Spain,1990.4
2011-05-01,Spain,2004.4
2011-06-01,Spain,1986.1
2011-07-01,Spain,1977.9
2011-08-01,Spain,1989.0
2011-09-01,Spain,2001.6
2011-10-01,Spain,2012.8
2011-11-01,Spain,1983.9
2011-12-01,Spain,1990.2
2012-01-01,Spain,2002.2
2012-02-01,Spain,2009.7
2012-03-01,Spain,2017.6
2012-04-01,Spain,2003.8
2012-05-01,Spain,2007.1
2012-06-01,Spain,2001.7
2012-07-01,Spain,2012.8
2012-08-01,Spain,1996.7
2012-09-01,Spain,2001.2
2012-10-01,Spain,1983.6
2012-11-01,Spain,2007.1
2012-12-01,Spain,2013.9
2013-01-01,Spain,2010.3
2013-02-01,Spain,1998.9
2013-03-01,Spain,1993.7
2013-04-01,Spain,2018.5
2013-05-01,Spain,1997.1
2013-06-01,Spain,2002.3
2013-07-01,Spain,1993.3
2013-08-01,Spain,2008.7
2013-09-01,Spain,2019.4
2013-10-01,Spain,2006.0
2013-11-01,Spain,2015.7
2013-12-01,Spain,1997.7
2014-01-01,Spain,2008.1
2014-02-01,Spain,2010.3
2014-03-01,Spain,2002.4
2014-04-01,Spain,2001.2
2014-05-01,Spain,2003.7
2014-06-01,Spain,2006.8
2014-07-01,Spain,2004.7
2014-08-01,Spain,2019.2
2014-09-01,Spain,1991.6
2014-10-01,Spain,2009.6
2014-11-01,Spain,1996.3
2014-12-01,Spain,2017.0
2015-01-01,Spain,2006.5
2015-02-01,Spain,2012.3
2015-03-01,Spain,2023.3
2015-04-01,Spain,1999.4
2015-05-01,Spain,2023.5
2015-06-01,Spain,2016.7
2015-07-01,Spain,2009.1
2015-08-01,Spain,1993.7
2015-09-01,Spain,2027.7
2015-10-01,Spain,2009.9
2015-11-01,Spain,2017.7
2015-12-01,Spain,2013.9
2016-01-01,Spain,2033.1
2016-02-01,Spain,2007.9
2016-03-01,Spain,2024.9
2016-04-01,Spain,2031.3
2016-05-01,Spain,2007.0
2016-06-01,Spain,2014.9
2016-07-01,Spain,2019.3
2016-08-01,Spain,2022.4
2016-09-01,Spain,2021.1
2016-10-01,Spain,2025.0
2016-11-01,Spain,2016.6
2016-12-01,Spain,2019.7
2017-01-01,Spain,2010.6
2017-02-01,Spain,2012.2
2017-03-01,Spain,2019.6
2017-04-01,Spain,2017.6
2017-05-01,Spain,2025.8
2017-06-01,Spain,2005.5
2017-07-01,Spain,2024.1
2017-08-01,Spain,2026.5
2017-09-01,Spain,2002.7
2017-10-01,Spain,2033.8
2017-11-01,Spain,2036.1
2017-12-01,Spain,2029.2
2018-01-01,Spain,2022.5
2018-02-01,Spain,2022.0
2018-03-01,Spain,2019.6
2018-04-01,Spain,2024.2
2018-05-01,Spain,2020.6
2018-06-01,Spain,2027.0
2018-07-01,Spain,2024.5
2018-08-01,Spain,2029.0
2018-09-01,Spain,2021.2
2018-10-01,Spain,2016.1
2018-11-01,Spain,2033.7
2018-12-01,Spain,2016.2
2019-01-01,Spain,2026.7
2019-02-01,Spain,2026.8
2019-03-01,Spain,2028.9
2019-04-01,Spain,2027.1
2019-05-01,Spain,2025.2
2019-06-01,Spain,2029.7
2019-07-01,Spain,2020.6
2019-08-01,Spain,2026.3
2019-09-01,Spain,2028.7
2019-10-01,Spain,2013.8
2019-11-01,Spain,2038.4
2019-12-01,Spain,2044.7
2020-01-01,Spain,2036.9
2020-02-01,Spain,2028.9
2020-03-01,Spain,2029.2
2020-04-01,Spain,2023.6
2020-05-01,Spain,2044.4
2020-06-01,Spain,2021.2
2020-07-01,Spain,2039.4
2020-08-01,Spain,2028.2
2020-09-01,Spain,2042.7
2020-10-01,Spain,2037.2
2020-11-01,Spain,2039.0
2020-12-01,Spain,2033.3
2021-01-01,Spain,2049.1
2021-02-01,Spain,2022.8
2021-03-01,Spain,2021.9
2021-04-01,Spain,2023.5
2021-05-01,Spain,2032.0
2021-06-01,Spain,2030.0
2021-07-01,Spain,2031.5
